question_number,option_label,signal_key,weight
1,A,driver,3
1,A,influencer,0
1,A,implementer,0
1,A,analyst,0
1,B,driver,0
1,B,influencer,0
1,B,implementer,3
1,B,analyst,0
1,C,driver,0
1,C,influencer,3
1,C,implementer,0
1,C,analyst,0
1,D,driver,0
1,D,influencer,0
1,D,implementer,0
1,D,analyst,3
2,A,driver,3
2,A,influencer,0
2,A,implementer,0
2,A,analyst,0
2,B,driver,0
2,B,influencer,0
2,B,implementer,3
2,B,analyst,0
2,C,driver,0
2,C,influencer,0
2,C,implementer,0
2,C,analyst,3
2,D,driver,1
2,D,influencer,0
2,D,implementer,3
2,D,analyst,0
3,A,driver,3
3,A,influencer,0
3,A,implementer,0
3,A,analyst,0
3,B,driver,0
3,B,influencer,0
3,B,implementer,0
3,B,analyst,3
3,C,driver,0
3,C,influencer,3
3,C,implementer,0
3,C,analyst,0
3,D,driver,3
3,D,influencer,0
3,D,implementer,0
3,D,analyst,0
4,A,driver,3
4,A,influencer,0
4,A,implementer,0
4,A,analyst,0
4,B,driver,0
4,B,influencer,0
4,B,implementer,3
4,B,analyst,0
4,C,driver,0
4,C,influencer,3
4,C,implementer,0
4,C,analyst,0
4,D,driver,0
4,D,influencer,0
4,D,implementer,0
4,D,analyst,3
5,A,driver,3
5,A,influencer,0
5,A,implementer,0
5,A,analyst,0
5,B,driver,0
5,B,influencer,0
5,B,implementer,0
5,B,analyst,3
5,C,driver,0
5,C,influencer,3
5,C,implementer,0
5,C,analyst,0
5,D,driver,0
5,D,influencer,0
5,D,implementer,3
5,D,analyst,0
6,A,driver,3
6,A,influencer,0
6,A,implementer,0
6,A,analyst,0
6,B,driver,0
6,B,influencer,0
6,B,implementer,3
6,B,analyst,0
6,C,driver,0
6,C,influencer,0
6,C,implementer,0
6,C,analyst,3
6,D,driver,0
6,D,influencer,0
6,D,implementer,0
6,D,analyst,3
7,A,driver,3
7,A,influencer,0
7,A,implementer,0
7,A,analyst,0
7,B,driver,0
7,B,influencer,0
7,B,implementer,3
7,B,analyst,0
7,C,driver,0
7,C,influencer,3
7,C,implementer,0
7,C,analyst,0
7,D,driver,0
7,D,influencer,0
7,D,implementer,0
7,D,analyst,3
8,A,driver,3
8,A,influencer,0
8,A,implementer,0
8,A,analyst,0
8,B,driver,0
8,B,influencer,0
8,B,implementer,3
8,B,analyst,0
8,C,driver,0
8,C,influencer,0
8,C,implementer,0
8,C,analyst,3
8,D,driver,0
8,D,influencer,0
8,D,implementer,0
8,D,analyst,3
9,A,driver,3
9,A,influencer,0
9,A,implementer,0
9,A,analyst,0
9,B,driver,0
9,B,influencer,3
9,B,implementer,0
9,B,analyst,0
9,C,driver,0
9,C,influencer,3
9,C,implementer,0
9,C,analyst,0
9,D,driver,0
9,D,influencer,0
9,D,implementer,0
9,D,analyst,3
10,A,driver,3
10,A,influencer,0
10,A,implementer,0
10,A,analyst,0
10,B,driver,0
10,B,influencer,3
10,B,implementer,0
10,B,analyst,0
10,C,driver,0
10,C,influencer,0
10,C,implementer,3
10,C,analyst,0
10,D,driver,0
10,D,influencer,0
10,D,implementer,0
10,D,analyst,3
11,A,results,3
11,A,vision,0
11,A,people,0
11,A,process,0
11,B,results,0
11,B,vision,3
11,B,people,0
11,B,process,0
11,C,results,0
11,C,vision,0
11,C,people,3
11,C,process,0
11,D,results,0
11,D,vision,0
11,D,people,0
11,D,process,3
12,A,control,3
12,A,scatter,0
12,A,withdrawal,0
12,A,critical,0
12,B,control,0
12,B,scatter,3
12,B,withdrawal,0
12,B,critical,0
12,C,control,0
12,C,scatter,0
12,C,withdrawal,3
12,C,critical,0
12,D,control,0
12,D,scatter,0
12,D,withdrawal,3
12,D,critical,0
13,A,competitive,3
13,A,creative,0
13,A,collaborative,0
13,A,structured,0
13,B,competitive,1
13,B,creative,3
13,B,collaborative,0
13,B,structured,0
13,C,competitive,0
13,C,creative,0
13,C,collaborative,3
13,C,structured,0
13,D,competitive,0
13,D,creative,0
13,D,collaborative,0
13,D,structured,3
14,A,driver,3
14,A,influencer,0
14,A,implementer,0
14,A,analyst,0
14,B,driver,0
14,B,influencer,3
14,B,implementer,0
14,B,analyst,0
14,C,driver,0
14,C,influencer,0
14,C,implementer,3
14,C,analyst,0
14,D,driver,3
14,D,influencer,0
14,D,implementer,0
14,D,analyst,1
15,A,competitive,3
15,A,creative,0
15,A,collaborative,0
15,A,structured,0
15,B,competitive,3
15,B,creative,0
15,B,collaborative,0
15,B,structured,0
15,C,competitive,0
15,C,creative,0
15,C,collaborative,3
15,C,structured,0
15,D,competitive,1
15,D,creative,0
15,D,collaborative,0
15,D,structured,3
16,A,achievement,3
16,A,influence,0
16,A,stability,0
16,A,mastery,0
16,B,achievement,0
16,B,influence,3
16,B,stability,0
16,B,mastery,0
16,C,achievement,0
16,C,influence,0
16,C,stability,3
16,C,mastery,0
16,D,achievement,0
16,D,influence,0
16,D,stability,0
16,D,mastery,3
17,A,achievement,3
17,A,influence,0
17,A,stability,0
17,A,mastery,0
17,B,achievement,0
17,B,influence,3
17,B,stability,0
17,B,mastery,0
17,C,achievement,0
17,C,influence,0
17,C,stability,3
17,C,mastery,0
17,D,achievement,0
17,D,influence,0
17,D,stability,0
17,D,mastery,3
18,A,achievement,3
18,A,influence,0
18,A,stability,0
18,A,mastery,0
18,B,achievement,0
18,B,influence,3
18,B,stability,0
18,B,mastery,0
18,C,achievement,0
18,C,influence,0
18,C,stability,3
18,C,mastery,0
18,D,achievement,0
18,D,influence,0
18,D,stability,0
18,D,mastery,3
19,A,achievement,3
19,A,influence,0
19,A,stability,0
19,A,mastery,0
19,B,achievement,0
19,B,influence,3
19,B,stability,0
19,B,mastery,0
19,C,achievement,0
19,C,influence,0
19,C,stability,3
19,C,mastery,0
19,D,achievement,0
19,D,influence,0
19,D,stability,0
19,D,mastery,3
20,A,achievement,3
20,A,influence,0
20,A,stability,0
20,A,mastery,0
20,B,achievement,0
20,B,influence,3
20,B,stability,0
20,B,mastery,0
20,C,achievement,0
20,C,influence,0
20,C,stability,3
20,C,mastery,0
20,D,achievement,3
20,D,influence,0
20,D,stability,0
20,D,mastery,1
21,A,achievement,3
21,A,influence,0
21,A,stability,0
21,A,mastery,0
21,B,achievement,0
21,B,influence,3
21,B,stability,0
21,B,mastery,0
21,C,achievement,0
21,C,influence,0
21,C,stability,3
21,C,mastery,0
21,D,achievement,0
21,D,influence,0
21,D,stability,0
21,D,mastery,3
22,A,achievement,3
22,A,influence,0
22,A,stability,0
22,A,mastery,0
22,B,achievement,0
22,B,influence,3
22,B,stability,0
22,B,mastery,0
22,C,achievement,0
22,C,influence,0
22,C,stability,3
22,C,mastery,0
22,D,achievement,0
22,D,influence,0
22,D,stability,0
22,D,mastery,3
23,A,results,3
23,A,vision,0
23,A,people,0
23,A,process,0
23,B,results,0
23,B,vision,3
23,B,people,0
23,B,process,0
23,C,results,0
23,C,vision,0
23,C,people,3
23,C,process,1
23,D,results,0
23,D,vision,0
23,D,people,0
23,D,process,3
24,A,achievement,3
24,A,influence,0
24,A,stability,1
24,A,mastery,0
24,B,achievement,0
24,B,influence,3
24,B,stability,0
24,B,mastery,0
24,C,achievement,0
24,C,influence,0
24,C,stability,3
24,C,mastery,0
24,D,achievement,0
24,D,influence,0
24,D,stability,0
24,D,mastery,3
25,A,results,3
25,A,vision,1
25,A,people,0
25,A,process,0
25,B,results,0
25,B,vision,3
25,B,people,1
25,B,process,0
25,C,results,0
25,C,vision,0
25,C,people,3
25,C,process,0
25,D,results,0
25,D,vision,0
25,D,people,0
25,D,process,3
26,A,competitive,3
26,A,creative,0
26,A,collaborative,0
26,A,structured,0
26,B,competitive,0
26,B,creative,0
26,B,collaborative,3
26,B,structured,0
26,C,competitive,0
26,C,creative,0
26,C,collaborative,1
26,C,structured,3
26,D,competitive,3
26,D,creative,1
26,D,collaborative,0
26,D,structured,0
27,A,compete,3
27,A,collaborate,0
27,A,compromise,0
27,A,avoidance,0
27,B,compete,0
27,B,collaborate,3
27,B,compromise,0
27,B,avoidance,0
27,C,compete,0
27,C,collaborate,0
27,C,compromise,0
27,C,avoidance,3
27,D,compete,0
27,D,collaborate,0
27,D,compromise,0
27,D,avoidance,3
28,A,achievement,3
28,A,influence,0
28,A,stability,0
28,A,mastery,0
28,B,achievement,0
28,B,influence,3
28,B,stability,0
28,B,mastery,0
28,C,achievement,0
28,C,influence,0
28,C,stability,3
28,C,mastery,0
28,D,achievement,0
28,D,influence,0
28,D,stability,0
28,D,mastery,3
29,A,compete,3
29,A,collaborate,0
29,A,compromise,0
29,A,avoidance,0
29,B,compete,3
29,B,collaborate,0
29,B,compromise,0
29,B,avoidance,0
29,C,compete,0
29,C,collaborate,0
29,C,compromise,3
29,C,avoidance,0
29,D,compete,0
29,D,collaborate,0
29,D,compromise,0
29,D,avoidance,3
30,A,compete,3
30,A,collaborate,0
30,A,compromise,0
30,A,avoidance,0
30,B,compete,3
30,B,collaborate,0
30,B,compromise,0
30,B,avoidance,0
30,C,compete,0
30,C,collaborate,3
30,C,compromise,0
30,C,avoidance,0
30,D,compete,0
30,D,collaborate,0
30,D,compromise,0
30,D,avoidance,3
31,A,results,3
31,A,vision,0
31,A,people,0
31,A,process,0
31,B,results,0
31,B,vision,3
31,B,people,0
31,B,process,0
31,C,results,0
31,C,vision,0
31,C,people,3
31,C,process,0
31,D,results,0
31,D,vision,0
31,D,people,0
31,D,process,3
32,A,compete,3
32,A,collaborate,0
32,A,compromise,0
32,A,avoidance,0
32,B,compete,0
32,B,collaborate,0
32,B,compromise,3
32,B,avoidance,0
32,C,compete,0
32,C,collaborate,0
32,C,compromise,0
32,C,avoidance,3
32,D,compete,0
32,D,collaborate,0
32,D,compromise,0
32,D,avoidance,3
33,A,compete,3
33,A,collaborate,0
33,A,compromise,0
33,A,avoidance,0
33,B,compete,0
33,B,collaborate,3
33,B,compromise,0
33,B,avoidance,0
33,C,compete,0
33,C,collaborate,3
33,C,compromise,0
33,C,avoidance,0
33,D,compete,0
33,D,collaborate,0
33,D,compromise,0
33,D,avoidance,3
34,A,compete,3
34,A,collaborate,0
34,A,compromise,0
34,A,avoidance,0
34,B,compete,0
34,B,collaborate,3
34,B,compromise,0
34,B,avoidance,0
34,C,compete,0
34,C,collaborate,0
34,C,compromise,0
34,C,avoidance,3
34,D,compete,0
34,D,collaborate,0
34,D,compromise,0
34,D,avoidance,3
35,A,control,3
35,A,scatter,0
35,A,withdrawal,0
35,A,critical,0
35,B,control,0
35,B,scatter,3
35,B,withdrawal,0
35,B,critical,0
35,C,control,0
35,C,scatter,0
35,C,withdrawal,3
35,C,critical,0
35,D,control,0
35,D,scatter,0
35,D,withdrawal,0
35,D,critical,3
36,A,control,3
36,A,scatter,0
36,A,withdrawal,0
36,A,critical,0
36,B,control,0
36,B,scatter,3
36,B,withdrawal,0
36,B,critical,0
36,C,control,0
36,C,scatter,0
36,C,withdrawal,3
36,C,critical,0
36,D,control,0
36,D,scatter,0
36,D,withdrawal,0
36,D,critical,3
37,A,compete,3
37,A,collaborate,0
37,A,compromise,0
37,A,avoidance,0
37,B,compete,3
37,B,collaborate,0
37,B,compromise,0
37,B,avoidance,0
37,C,compete,0
37,C,collaborate,0
37,C,compromise,0
37,C,avoidance,3
37,D,compete,0
37,D,collaborate,0
37,D,compromise,0
37,D,avoidance,3
38,A,control,3
38,A,scatter,0
38,A,withdrawal,0
38,A,critical,0
38,B,control,0
38,B,scatter,3
38,B,withdrawal,0
38,B,critical,0
38,C,control,0
38,C,scatter,0
38,C,withdrawal,3
38,C,critical,0
38,D,control,0
38,D,scatter,0
38,D,withdrawal,0
38,D,critical,3
39,A,control,3
39,A,scatter,0
39,A,withdrawal,0
39,A,critical,0
39,B,control,0
39,B,scatter,3
39,B,withdrawal,0
39,B,critical,0
39,C,control,0
39,C,scatter,0
39,C,withdrawal,3
39,C,critical,0
39,D,control,0
39,D,scatter,0
39,D,withdrawal,0
39,D,critical,3
40,A,control,3
40,A,scatter,0
40,A,withdrawal,0
40,A,critical,0
40,B,control,3
40,B,scatter,0
40,B,withdrawal,0
40,B,critical,0
40,C,control,0
40,C,scatter,0
40,C,withdrawal,3
40,C,critical,0
40,D,control,0
40,D,scatter,0
40,D,withdrawal,0
40,D,critical,3
41,A,driver,3
41,A,influencer,0
41,A,implementer,0
41,A,analyst,0
41,B,driver,0
41,B,influencer,3
41,B,implementer,0
41,B,analyst,0
41,C,driver,0
41,C,influencer,0
41,C,implementer,3
41,C,analyst,0
41,D,driver,0
41,D,influencer,0
41,D,implementer,0
41,D,analyst,3
42,A,driver,3
42,A,influencer,0
42,A,implementer,0
42,A,analyst,0
42,B,driver,0
42,B,influencer,3
42,B,implementer,0
42,B,analyst,0
42,C,driver,0
42,C,influencer,0
42,C,implementer,3
42,C,analyst,0
42,D,driver,0
42,D,influencer,0
42,D,implementer,0
42,D,analyst,3
43,A,driver,3
43,A,influencer,0
43,A,implementer,0
43,A,analyst,0
43,B,driver,0
43,B,influencer,3
43,B,implementer,0
43,B,analyst,0
43,C,driver,0
43,C,influencer,0
43,C,implementer,3
43,C,analyst,0
43,D,driver,0
43,D,influencer,0
43,D,implementer,0
43,D,analyst,3
44,A,driver,3
44,A,influencer,0
44,A,implementer,0
44,A,analyst,0
44,B,driver,0
44,B,influencer,3
44,B,implementer,0
44,B,analyst,0
44,C,driver,0
44,C,influencer,0
44,C,implementer,3
44,C,analyst,0
44,D,driver,0
44,D,influencer,0
44,D,implementer,0
44,D,analyst,3
45,A,driver,3
45,A,influencer,0
45,A,implementer,0
45,A,analyst,0
45,B,driver,0
45,B,influencer,3
45,B,implementer,0
45,B,analyst,0
45,C,driver,0
45,C,influencer,0
45,C,implementer,3
45,C,analyst,0
45,D,driver,0
45,D,influencer,0
45,D,implementer,1
45,D,analyst,3
46,A,results,3
46,A,vision,0
46,A,people,0
46,A,process,0
46,B,results,0
46,B,vision,3
46,B,people,1
46,B,process,0
46,C,results,0
46,C,vision,0
46,C,people,3
46,C,process,0
46,D,results,0
46,D,vision,0
46,D,people,0
46,D,process,3
47,A,results,3
47,A,vision,0
47,A,people,0
47,A,process,0
47,B,results,0
47,B,vision,3
47,B,people,0
47,B,process,0
47,C,results,0
47,C,vision,0
47,C,people,3
47,C,process,0
47,D,results,0
47,D,vision,0
47,D,people,0
47,D,process,3
48,A,results,3
48,A,vision,1
48,A,people,0
48,A,process,0
48,B,results,0
48,B,vision,3
48,B,people,0
48,B,process,0
48,C,results,0
48,C,vision,0
48,C,people,3
48,C,process,0
48,D,results,0
48,D,vision,0
48,D,people,0
48,D,process,3
49,A,results,3
49,A,vision,0
49,A,people,0
49,A,process,0
49,B,results,0
49,B,vision,3
49,B,people,0
49,B,process,0
49,C,results,0
49,C,vision,0
49,C,people,3
49,C,process,0
49,D,results,0
49,D,vision,0
49,D,people,0
49,D,process,3
50,A,results,3
50,A,vision,0
50,A,people,0
50,A,process,0
50,B,results,0
50,B,vision,3
50,B,people,0
50,B,process,0
50,C,results,0
50,C,vision,0
50,C,people,1
50,C,process,3
50,D,results,0
50,D,vision,0
50,D,people,0
50,D,process,3
51,A,competitive,3
51,A,creative,0
51,A,collaborative,0
51,A,structured,0
51,B,competitive,0
51,B,creative,3
51,B,collaborative,0
51,B,structured,0
51,C,competitive,0
51,C,creative,0
51,C,collaborative,3
51,C,structured,0
51,D,competitive,3
51,D,creative,0
51,D,collaborative,0
51,D,structured,0
52,A,competitive,3
52,A,creative,0
52,A,collaborative,0
52,A,structured,0
52,B,competitive,3
52,B,creative,0
52,B,collaborative,0
52,B,structured,0
52,C,competitive,0
52,C,creative,0
52,C,collaborative,3
52,C,structured,0
52,D,competitive,3
52,D,creative,0
52,D,collaborative,0
52,D,structured,0
53,A,competitive,3
53,A,creative,0
53,A,collaborative,0
53,A,structured,0
53,B,competitive,0
53,B,creative,3
53,B,collaborative,0
53,B,structured,0
53,C,competitive,0
53,C,creative,0
53,C,collaborative,3
53,C,structured,0
53,D,competitive,3
53,D,creative,0
53,D,collaborative,0
53,D,structured,0
54,A,results,3
54,A,vision,0
54,A,people,0
54,A,process,0
54,B,results,3
54,B,vision,1
54,B,people,0
54,B,process,0
54,C,results,3
54,C,vision,0
54,C,people,1
54,C,process,0
54,D,results,3
54,D,vision,0
54,D,people,0
54,D,process,0
55,A,competitive,3
55,A,creative,0
55,A,collaborative,0
55,A,structured,0
55,B,competitive,0
55,B,creative,3
55,B,collaborative,0
55,B,structured,0
55,C,competitive,3
55,C,creative,0
55,C,collaborative,0
55,C,structured,0
55,D,competitive,0
55,D,creative,0
55,D,collaborative,0
55,D,structured,3
56,A,competitive,0
56,A,creative,0
56,A,collaborative,3
56,A,structured,0
56,B,competitive,3
56,B,creative,0
56,B,collaborative,0
56,B,structured,0
56,C,competitive,3
56,C,creative,0
56,C,collaborative,0
56,C,structured,0
56,D,competitive,3
56,D,creative,0
56,D,collaborative,0
56,D,structured,0
57,A,driver,3
57,A,influencer,0
57,A,implementer,0
57,A,analyst,0
57,B,driver,0
57,B,influencer,3
57,B,implementer,0
57,B,analyst,0
57,C,driver,3
57,C,influencer,0
57,C,implementer,0
57,C,analyst,0
57,D,driver,0
57,D,influencer,0
57,D,implementer,0
57,D,analyst,3
58,A,competitive,3
58,A,creative,0
58,A,collaborative,0
58,A,structured,0
58,B,competitive,0
58,B,creative,0
58,B,collaborative,3
58,B,structured,0
58,C,competitive,0
58,C,creative,0
58,C,collaborative,0
58,C,structured,3
58,D,competitive,0
58,D,creative,0
58,D,collaborative,3
58,D,structured,0
59,A,achievement,3
59,A,influence,0
59,A,stability,0
59,A,mastery,0
59,B,achievement,0
59,B,influence,3
59,B,stability,0
59,B,mastery,0
59,C,achievement,0
59,C,influence,0
59,C,stability,3
59,C,mastery,0
59,D,achievement,0
59,D,influence,0
59,D,stability,0
59,D,mastery,3
60,A,driver,3
60,A,influencer,0
60,A,implementer,0
60,A,analyst,0
60,B,driver,0
60,B,influencer,3
60,B,implementer,0
60,B,analyst,0
60,C,driver,0
60,C,influencer,0
60,C,implementer,3
60,C,analyst,0
60,D,driver,0
60,D,influencer,0
60,D,implementer,3
60,D,analyst,0
61,A,compete,3
61,A,collaborate,0
61,A,compromise,0
61,A,avoidance,0
61,B,compete,0
61,B,collaborate,3
61,B,compromise,0
61,B,avoidance,0
61,C,compete,0
61,C,collaborate,0
61,C,compromise,3
61,C,avoidance,0
61,D,compete,0
61,D,collaborate,0
61,D,compromise,0
61,D,avoidance,3
62,A,results,3
62,A,vision,0
62,A,people,0
62,A,process,0
62,B,results,0
62,B,vision,3
62,B,people,0
62,B,process,0
62,C,results,0
62,C,vision,0
62,C,people,3
62,C,process,0
62,D,results,0
62,D,vision,0
62,D,people,0
62,D,process,3
63,A,driver,3
63,A,influencer,0
63,A,implementer,0
63,A,analyst,0
63,B,driver,0
63,B,influencer,3
63,B,implementer,0
63,B,analyst,0
63,C,driver,0
63,C,influencer,3
63,C,implementer,0
63,C,analyst,0
63,D,driver,3
63,D,influencer,0
63,D,implementer,0
63,D,analyst,0
64,A,driver,3
64,A,influencer,0
64,A,implementer,0
64,A,analyst,0
64,B,driver,3
64,B,influencer,0
64,B,implementer,0
64,B,analyst,0
64,C,driver,0
64,C,influencer,3
64,C,implementer,0
64,C,analyst,0
64,D,driver,0
64,D,influencer,0
64,D,implementer,0
64,D,analyst,3
65,A,compete,3
65,A,collaborate,0
65,A,compromise,0
65,A,avoidance,0
65,B,compete,1
65,B,collaborate,3
65,B,compromise,0
65,B,avoidance,0
65,C,compete,0
65,C,collaborate,3
65,C,compromise,0
65,C,avoidance,0
65,D,compete,0
65,D,collaborate,1
65,D,compromise,0
65,D,avoidance,3
66,A,results,3
66,A,vision,0
66,A,people,0
66,A,process,0
66,B,results,0
66,B,vision,3
66,B,people,0
66,B,process,0
66,C,results,0
66,C,vision,0
66,C,people,3
66,C,process,0
66,D,results,0
66,D,vision,0
66,D,people,0
66,D,process,3
67,A,control,3
67,A,scatter,0
67,A,withdrawal,0
67,A,critical,0
67,B,control,3
67,B,scatter,0
67,B,withdrawal,0
67,B,critical,0
67,C,control,3
67,C,scatter,0
67,C,withdrawal,0
67,C,critical,0
67,D,control,0
67,D,scatter,0
67,D,withdrawal,0
67,D,critical,3
68,A,compete,3
68,A,collaborate,0
68,A,compromise,0
68,A,avoidance,0
68,B,compete,0
68,B,collaborate,3
68,B,compromise,0
68,B,avoidance,0
68,C,compete,0
68,C,collaborate,0
68,C,compromise,3
68,C,avoidance,0
68,D,compete,0
68,D,collaborate,0
68,D,compromise,0
68,D,avoidance,3
69,A,control,3
69,A,scatter,0
69,A,withdrawal,0
69,A,critical,0
69,B,control,3
69,B,scatter,0
69,B,withdrawal,0
69,B,critical,0
69,C,control,3
69,C,scatter,0
69,C,withdrawal,0
69,C,critical,0
69,D,control,3
69,D,scatter,0
69,D,withdrawal,0
69,D,critical,0
70,A,competitive,3
70,A,creative,0
70,A,collaborative,0
70,A,structured,0
70,B,competitive,3
70,B,creative,0
70,B,collaborative,0
70,B,structured,0
70,C,competitive,0
70,C,creative,0
70,C,collaborative,3
70,C,structured,0
70,D,competitive,3
70,D,creative,0
70,D,collaborative,0
70,D,structured,0
71,A,results,3
71,A,vision,0
71,A,people,0
71,A,process,0
71,B,results,0
71,B,vision,3
71,B,people,1
71,B,process,0
71,C,results,0
71,C,vision,0
71,C,people,3
71,C,process,0
71,D,results,0
71,D,vision,0
71,D,people,0
71,D,process,3
72,A,driver,3
72,A,influencer,0
72,A,implementer,0
72,A,analyst,0
72,B,driver,3
72,B,influencer,0
72,B,implementer,0
72,B,analyst,0
72,C,driver,3
72,C,influencer,0
72,C,implementer,0
72,C,analyst,0
72,D,driver,3
72,D,influencer,0
72,D,implementer,0
72,D,analyst,0
73,A,driver,0
73,A,influencer,3
73,A,implementer,0
73,A,analyst,0
73,B,driver,0
73,B,influencer,3
73,B,implementer,0
73,B,analyst,0
73,C,driver,0
73,C,influencer,0
73,C,implementer,3
73,C,analyst,0
73,D,driver,3
73,D,influencer,0
73,D,implementer,0
73,D,analyst,0
74,A,results,3
74,A,vision,0
74,A,people,0
74,A,process,0
74,B,results,3
74,B,vision,1
74,B,people,0
74,B,process,0
74,C,results,0
74,C,vision,0
74,C,people,3
74,C,process,0
74,D,results,0
74,D,vision,0
74,D,people,0
74,D,process,3
75,A,control,3
75,A,scatter,0
75,A,withdrawal,0
75,A,critical,0
75,B,control,3
75,B,scatter,0
75,B,withdrawal,0
75,B,critical,0
75,C,control,3
75,C,scatter,0
75,C,withdrawal,0
75,C,critical,0
75,D,control,0
75,D,scatter,0
75,D,withdrawal,0
75,D,critical,3
76,A,competitive,3
76,A,creative,0
76,A,collaborative,0
76,A,structured,0
76,B,competitive,3
76,B,creative,0
76,B,collaborative,0
76,B,structured,0
76,C,competitive,3
76,C,creative,0
76,C,collaborative,0
76,C,structured,0
76,D,competitive,3
76,D,creative,0
76,D,collaborative,0
76,D,structured,0
77,A,driver,3
77,A,influencer,0
77,A,implementer,0
77,A,analyst,0
77,B,driver,3
77,B,influencer,0
77,B,implementer,0
77,B,analyst,0
77,C,driver,3
77,C,influencer,0
77,C,implementer,0
77,C,analyst,0
77,D,driver,0
77,D,influencer,0
77,D,implementer,0
77,D,analyst,3
78,A,control,3
78,A,scatter,0
78,A,withdrawal,0
78,A,critical,0
78,B,control,3
78,B,scatter,0
78,B,withdrawal,0
78,B,critical,0
78,C,control,3
78,C,scatter,0
78,C,withdrawal,0
78,C,critical,0
78,D,control,3
78,D,scatter,0
78,D,withdrawal,0
78,D,critical,0
79,A,competitive,3
79,A,creative,0
79,A,collaborative,0
79,A,structured,0
79,B,competitive,0
79,B,creative,3
79,B,collaborative,0
79,B,structured,0
79,C,competitive,3
79,C,creative,0
79,C,collaborative,0
79,C,structured,0
79,D,competitive,3
79,D,creative,0
79,D,collaborative,0
79,D,structured,0
80,A,achievement,3
80,A,influence,0
80,A,stability,0
80,A,mastery,0
80,B,achievement,0
80,B,influence,3
80,B,stability,0
80,B,mastery,0
80,C,achievement,0
80,C,influence,0
80,C,stability,3
80,C,mastery,0
80,D,achievement,0
80,D,influence,0
80,D,stability,0
80,D,mastery,3