question_number,option_label,domain,question_text,response_text,primary_signal,secondary_signal,needs_review,notes
40,D,Pressure Response,"When you feel under threat or exposed, what is your instinctive reaction?",Overanalyse every possible downside,critical,,false,Primary critical via overanalyse every possible downside.
41,A,Operating Style,How do you generally view risk?,A chance worth taking if upside is strong,driver,,false,Primary driver via a chance worth taking if upside is strong.
41,B,Operating Style,How do you generally view risk?,Necessary if the mission is worth it,influencer,,false,Primary influencer via necessary if the mission is worth it.
41,C,Operating Style,How do you generally view risk?,Fine when exposure is understood and managed,implementer,,false,Primary implementer via fine when exposure is understood and managed.
41,D,Operating Style,How do you generally view risk?,A threat unless controls are in place,analyst,,false,Primary analyst via a threat unless controls are in place.
42,A,Operating Style,What kind of decisions do you prefer to make?,Quick calls with limited delay,driver,,false,Primary driver via quick calls with limited delay; quick; quick.
42,B,Operating Style,What kind of decisions do you prefer to make?,Shared calls with key people aligned,influencer,,false,Primary influencer via shared calls with key people aligned; people; people.
42,C,Operating Style,What kind of decisions do you prefer to make?,Low-risk calls with predictable outcomes,implementer,,false,Primary implementer via low-risk calls with predictable outcomes.
42,D,Operating Style,What kind of decisions do you prefer to make?,Evidence-led calls with clear assumptions tested,analyst,,false,Primary analyst via evidence-led calls with clear assumptions tested; evidence; evid.
43,A,Operating Style,Think of a recent high-stakes decision. What did you prioritise most?,Move fast to keep options open,driver,,false,Primary driver via move fast to keep options open; fast; fast.
43,B,Operating Style,Think of a recent high-stakes decision. What did you prioritise most?,Build alignment so execution holds,influencer,,false,Primary influencer via build alignment so execution holds.
43,C,Operating Style,Think of a recent high-stakes decision. What did you prioritise most?,Protect stability and avoid major disruption,implementer,,false,Primary implementer via protect stability and avoid major disruption; stabil.
43,D,Operating Style,Think of a recent high-stakes decision. What did you prioritise most?,Compare scenarios before committing resources,analyst,,false,Primary analyst via compare scenarios before committing resources.
44,A,Operating Style,"When you last had to make a judgement call, what did you trust most?",Pattern recognition and lived judgement,driver,,false,Primary driver via pattern recognition and lived judgement.
44,B,Operating Style,"When you last had to make a judgement call, what did you trust most?",Input from people I trust,influencer,,false,Primary influencer via input from people i trust; people; people.
44,C,Operating Style,"When you last had to make a judgement call, what did you trust most?",What keeps the system stable,implementer,,false,Primary implementer via what keeps the system stable.
44,D,Operating Style,"When you last had to make a judgement call, what did you trust most?",Data quality and decision evidence,analyst,,false,Primary analyst via data quality and decision evidence; evidence; data.
45,A,Operating Style,What level of uncertainty are you comfortable with?,High uncertainty with big upside potential,driver,,false,Primary driver via high uncertainty with big upside potential.
45,B,Operating Style,What level of uncertainty are you comfortable with?,Frequent change with room to adapt,influencer,,false,Primary influencer via frequent change with room to adapt.
45,C,Operating Style,What level of uncertainty are you comfortable with?,Moderate uncertainty with clear guardrails,implementer,,false,Primary implementer via moderate uncertainty with clear guardrails.
45,D,Operating Style,What level of uncertainty are you comfortable with?,Low uncertainty with strong structure,analyst,implementer,false,"Primary analyst, secondary implementer via low uncertainty with strong structure."
46,A,Leadership Approach,What is the primary responsibility of a leader?,Set direction and deliver measurable results,results,,false,Primary results via set direction and deliver measurable results; results; deliver.
46,B,Leadership Approach,What is the primary responsibility of a leader?,Create belief people want to follow,vision,people,false,"Primary vision, secondary people via create belief people want to follow."
46,C,Leadership Approach,What is the primary responsibility of a leader?,Grow people so the team gets stronger,people,,false,Primary people via grow people so the team gets stronger; people; people.
46,D,Leadership Approach,What is the primary responsibility of a leader?,Build systems that scale reliably,process,,false,Primary process via build systems that scale reliably; systems; system.
47,A,Leadership Approach,How should poor performance be handled?,Set clear consequences and raise expectations,results,,false,Primary results via set clear consequences and raise expectations.
47,B,Leadership Approach,How should poor performance be handled?,Reconnect effort to purpose and momentum,vision,,false,Primary vision via reconnect effort to purpose and momentum.
47,C,Leadership Approach,How should poor performance be handled?,Coach directly and remove blockers,people,,false,Primary people via coach directly and remove blockers; coach.
47,D,Leadership Approach,How should poor performance be handled?,Fix process issues driving the problem,process,,false,Primary process via fix process issues driving the problem; process; process.
48,A,Leadership Approach,How do you naturally lead others?,By setting direction and making decisions,results,vision,false,"Primary results, secondary vision via setting direction and making decisions."
48,B,Leadership Approach,How do you naturally lead others?,By creating energy and visible momentum,vision,,false,Primary vision via creating energy and visible momentum; energy.
48,C,Leadership Approach,How do you naturally lead others?,By supporting people through pressure,people,,false,Primary people via supporting people through pressure; people; people.
48,D,Leadership Approach,How do you naturally lead others?,By bringing expertise to hard problems,process,,false,Primary process via bringing expertise to hard problems.
49,A,Leadership Approach,What is the role of authority in organisations?,Authority should be used decisively when needed,results,,false,Primary results via authority should be used decisively when needed.
49,B,Leadership Approach,What is the role of authority in organisations?,Authority should be earned through trust,vision,,false,Primary vision via authority should be earned through trust.
49,C,Leadership Approach,What is the role of authority in organisations?,Authority should be shared where possible,people,,false,Primary people via authority should be shared where possible.
49,D,Leadership Approach,What is the role of authority in organisations?,Authority should be clear in the structure,process,,false,Primary process via authority should be clear in the structure; structure; structure.
50,A,Leadership Approach,When do you feel most confident leading?,In a crisis that needs fast calls,results,,false,Primary results via in a crisis that needs fast calls.
50,B,Leadership Approach,When do you feel most confident leading?,In growth phases that need energy,vision,,false,Primary vision via in growth phases that need energy; energy.
50,C,Leadership Approach,When do you feel most confident leading?,In steady periods that need consistency,process,people,false,"Primary process, secondary people via consistency; consistency; consist."
50,D,Leadership Approach,When do you feel most confident leading?,In complex situations needing careful judgement,process,,false,Primary process via in complex situations needing careful judgement; judg.
51,A,Environment Fit,What does an ideal working culture look like to you?,High-performance culture with clear accountability,competitive,,false,Primary competitive via performance; performance; perform.
51,B,Environment Fit,What does an ideal working culture look like to you?,Creative culture that rewards experimentation,creative,,false,Primary creative via experimentation; creative; creativ.
51,C,Environment Fit,What does an ideal working culture look like to you?,Collaborative culture with strong trust,collaborative,,true,Primary assigned with limited evidence and no clear secondary signal.
51,D,Environment Fit,What does an ideal working culture look like to you?,Structured culture with clear standards,competitive,,true,No direct keyword match. Defaulted to competitive.
52,A,Environment Fit,How should success be measured in an organisation?,Strong financial results and margin discipline,competitive,,true,No direct keyword match. Defaulted to competitive.
52,B,Environment Fit,How should success be measured in an organisation?,Sustainable growth in capability and reach,competitive,,true,No direct keyword match. Defaulted to competitive.
52,C,Environment Fit,How should success be measured in an organisation?,Healthy engagement and low team friction,collaborative,,true,Primary assigned with limited evidence and no clear secondary signal.
52,D,Environment Fit,How should success be measured in an organisation?,Operational efficiency and consistent delivery,competitive,,true,No direct keyword match. Defaulted to competitive.
53,A,Environment Fit,What should culture prioritise above all else?,High standards and measurable performance,competitive,,false,Primary competitive via performance; performance; perform.
53,B,Environment Fit,What should culture prioritise above all else?,Experimentation that leads to real learning,creative,,false,Primary creative via experimentation; experi.
53,C,Environment Fit,What should culture prioritise above all else?,"Belonging, trust, and psychological safety",collaborative,,true,Primary assigned with limited evidence and no clear secondary signal.
53,D,Environment Fit,What should culture prioritise above all else?,Consistency in how work gets done,competitive,,true,No direct keyword match. Defaulted to competitive.
54,A,Leadership Approach,How should accountability show up in a team?,Expectations are explicit and hard to ignore,results,,false,Primary results via expectations are explicit and hard to ignore.
54,B,Leadership Approach,How should accountability show up in a team?,People own outcomes because purpose is clear,results,vision,true,Three or more in-domain signals matched the wording.
54,C,Leadership Approach,How should accountability show up in a team?,Accountability is fair and applied evenly,results,people,false,"Primary results, secondary people via accountability; accountability; account."
54,D,Leadership Approach,How should accountability show up in a team?,Progress is measured with clear metrics,results,,false,Primary results via progress is measured with clear metrics.
55,A,Environment Fit,What kind of culture do you struggle in?,Slow cultures where decisions drag on,competitive,,true,Primary assigned with limited evidence and no clear secondary signal.
55,B,Environment Fit,What kind of culture do you struggle in?,Risk-averse cultures that reject new ideas,creative,,false,Primary creative via new ideas; ideas; idea.
55,C,Environment Fit,What kind of culture do you struggle in?,Harsh cultures that normalise blame,competitive,,true,No direct keyword match. Defaulted to competitive.
55,D,Environment Fit,What kind of culture do you struggle in?,Chaotic cultures with no clear process,structured,,true,Primary assigned with limited evidence and no clear secondary signal.
56,A,Environment Fit,What type of role suits you best?,Owning commercial outcomes across teams,collaborative,,true,Primary assigned with limited evidence and no clear secondary signal.
56,B,Environment Fit,What type of role suits you best?,Building partnerships and opening opportunities,competitive,,true,No direct keyword match. Defaulted to competitive.
56,C,Environment Fit,What type of role suits you best?,Running operations with reliability and pace,competitive,,false,Primary competitive via pace; pace.
56,D,Environment Fit,What type of role suits you best?,Solving specialist problems with deep expertise,competitive,,true,No direct keyword match. Defaulted to competitive.
57,A,Operating Style,Where does your natural strength lie?,Driving change when momentum is needed,driver,,true,No direct keyword match. Defaulted to driver.
57,B,Operating Style,Where does your natural strength lie?,Influencing people across functions and levels,influencer,,true,Primary assigned with limited evidence and no clear secondary signal.
57,C,Operating Style,Where does your natural strength lie?,Keeping delivery stable during disruption,driver,,true,No direct keyword match. Defaulted to driver.
57,D,Operating Style,Where does your natural strength lie?,Analysing complexity and finding clear patterns,analyst,,true,Primary assigned with limited evidence and no clear secondary signal.
58,A,Environment Fit,In what kind of environment do you thrive?,Stretch goals with clear accountability,competitive,,true,Primary assigned with limited evidence and no clear secondary signal.
58,B,Environment Fit,In what kind of environment do you thrive?,Strong relationships that move work forward,collaborative,,true,Primary assigned with limited evidence and no clear secondary signal.
58,C,Environment Fit,In what kind of environment do you thrive?,Predictable environment with minimal surprises,structured,,true,Primary assigned with limited evidence and no clear secondary signal.
58,D,Environment Fit,In what kind of environment do you thrive?,Clear systems that support quality execution,collaborative,,false,Primary collaborative via support; support; support.
59,A,Core Drivers,What is the greatest value you bring to a company?,Creating momentum when progress stalls,achievement,,false,Primary achievement via creating momentum when progress stalls; progress; progress.
59,B,Core Drivers,What is the greatest value you bring to a company?,Building engagement that lifts team effort,influence,,false,Primary influence via building engagement that lifts team effort.
59,C,Core Drivers,What is the greatest value you bring to a company?,Delivering reliably under pressure,stability,,false,Primary stability via delivering reliably under pressure; reliab.
59,D,Core Drivers,What is the greatest value you bring to a company?,Bringing precision to important decisions,mastery,,false,Primary mastery via bringing precision to important decisions.
60,A,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Tightened priorities and pushed faster decisions,driver,,true,Primary assigned with limited evidence and no clear secondary signal.
60,B,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Reframed the goal and re-energised people,influencer,,false,Primary influencer via people; people; energ.
60,C,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Stabilised workload and reduced extra disruption,implementer,,true,Primary assigned with limited evidence and no clear secondary signal.
60,D,Operating Style,Think of a time when progress stalled on something important. What did you do next?,Reworked the plan and challenged assumptions,implementer,,true,Primary assigned with limited evidence and no clear secondary signal.
61,A,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Defended my view and argued my case,compete,,false,Primary compete via defended my view and argued my case.
61,B,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Reframed it to build broader support,collaborate,,false,Primary collaborate via reframed it to build broader support.
61,C,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Lowered tension so we could keep talking,compromise,,false,Primary compromise via lowered tension so we could keep talking.
61,D,Tension Response,"When someone strongly challenged your idea recently, how did you respond?",Tested their reasoning before responding,avoidance,,false,Primary avoidance via tested their reasoning before responding.
62,A,Leadership Approach,"In high-performing teams, what matters most to you?",Clear momentum and disciplined execution,results,,false,Primary results via clear momentum and disciplined execution; execut.
62,B,Leadership Approach,"In high-performing teams, what matters most to you?",Shared energy and belief in the mission,vision,,false,Primary vision via shared energy and belief in the mission; energy.
62,C,Leadership Approach,"In high-performing teams, what matters most to you?","Trust, cohesion, and mutual support",people,,false,"Primary people via trust, cohesion, and mutual support; support; support."
62,D,Leadership Approach,"In high-performing teams, what matters most to you?",High standards and technical precision,process,,false,Primary process via high standards and technical precision; standards; standard.
63,A,Operating Style,"When a project you were involved in started to drift, what did you do?",Stepped in directly and reset direction,driver,,true,Primary assigned with limited evidence and no clear secondary signal.
63,B,Operating Style,"When a project you were involved in started to drift, what did you do?",Influenced key people to regain traction,influencer,,true,Primary assigned with limited evidence and no clear secondary signal.
63,C,Operating Style,"When a project you were involved in started to drift, what did you do?",Brought people together to re-align,influencer,,true,Primary assigned with limited evidence and no clear secondary signal.
63,D,Operating Style,"When a project you were involved in started to drift, what did you do?",Tightened process and clarified decision points,driver,,true,Primary assigned with limited evidence and no clear secondary signal.
64,A,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Potential upside if execution went well,driver,,true,No direct keyword match. Defaulted to driver.
64,B,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Whether the story would attract support,driver,,true,No direct keyword match. Defaulted to driver.
64,C,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Effects on people and team stability,influencer,,true,Primary assigned with limited evidence and no clear secondary signal.
64,D,Operating Style,Think of a risky opportunity you evaluated recently. What did you focus on most?,Evidence strength and probability of success,analyst,,true,Primary assigned with limited evidence and no clear secondary signal.
65,A,Tension Response,"When someone disagreed with you privately, how did you handle it?",Stated my decision and expected alignment,compete,,false,Primary compete via stated my decision and expected alignment.
65,B,Tension Response,"When someone disagreed with you privately, how did you handle it?",Worked to win them over to my view,collaborate,compete,false,"Primary collaborate, secondary compete via worked to win them over to my view."
65,C,Tension Response,"When someone disagreed with you privately, how did you handle it?",Explored their concerns before deciding next,collaborate,,false,Primary collaborate via explored their concerns before deciding next.
65,D,Tension Response,"When someone disagreed with you privately, how did you handle it?",Compared assumptions and logic together,avoidance,collaborate,false,"Primary avoidance, secondary collaborate via compared assumptions and logic together."
66,A,Leadership Approach,Why do organisations fail when they grow quickly?,Decision rights get blurred and contested,results,,true,No direct keyword match. Defaulted to results.
66,B,Leadership Approach,Why do organisations fail when they grow quickly?,The original vision gets diluted over time,vision,,false,Primary vision via the original vision gets diluted over time; vision; vision.
66,C,Leadership Approach,Why do organisations fail when they grow quickly?,Culture fractures across teams and layers,people,,false,Primary people via culture fractures across teams and layers; team.
66,D,Leadership Approach,Why do organisations fail when they grow quickly?,Core systems fail under added scale,process,,false,Primary process via core systems fail under added scale; systems; system.
67,A,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Became more forceful to regain control,control,,true,Primary assigned with limited evidence and no clear secondary signal.
67,B,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Became more expressive and talked it through,control,,true,No direct keyword match. Defaulted to control.
67,C,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Focused on calming people before solving,control,,true,No direct keyword match. Defaulted to control.
67,D,Pressure Response,"In a recent emotionally charged situation, how did you behave?",Shifted into analysis to avoid reacting,critical,,true,Primary assigned with limited evidence and no clear secondary signal.
68,A,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Said the hard thing clearly and early,compete,,false,Primary compete via said the hard thing clearly and early.
68,B,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Framed it to keep them engaged,collaborate,,false,Primary collaborate via framed it to keep them engaged.
68,C,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Protected the relationship while raising the issue,compromise,,false,Primary compromise via protected the relationship while raising the issue.
68,D,Tension Response,Think of a difficult conversation you had. What did you prioritise?,Kept to facts and avoided exaggeration,avoidance,,false,Primary avoidance via kept to facts and avoided exaggeration; avoid.
69,A,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Owned it quickly and corrected course,control,,true,No direct keyword match. Defaulted to control.
69,B,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Rebuilt commitment so people stayed engaged,control,,true,No direct keyword match. Defaulted to control.
69,C,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Protected morale while we reset,control,,true,No direct keyword match. Defaulted to control.
69,D,Pressure Response,"When a decision you made turned out to be wrong, what did you do next?",Investigated root causes before the next move,control,,true,No direct keyword match. Defaulted to control.
70,A,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",Who makes the final calls here,competitive,,true,No direct keyword match. Defaulted to competitive.
70,B,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",Who really shapes decisions informally,competitive,,true,Primary assigned with limited evidence and no clear secondary signal.
70,C,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",How trust and relationships actually work,collaborative,,true,Primary assigned with limited evidence and no clear secondary signal.
70,D,Environment Fit,"When you joined a new team or organisation, what did you try to understand first?",How the core systems run,competitive,,true,No direct keyword match. Defaulted to competitive.
71,A,Leadership Approach,When are you most effective as a leader?,When clear performance lift is needed,results,,false,Primary results via when clear performance lift is needed; perform.
71,B,Leadership Approach,When are you most effective as a leader?,When people need confidence and direction,vision,people,false,"Primary vision, secondary people via when people need confidence and direction; direction; direct."
71,C,Leadership Approach,When are you most effective as a leader?,When the team needs steadiness and trust,people,,false,Primary people via when the team needs steadiness and trust; team.
71,D,Leadership Approach,When are you most effective as a leader?,When problems require deep expert judgement,process,,false,Primary process via when problems require deep expert judgement; judg.
72,A,Operating Style,"When you last faced competing priorities, how did you decide?",Chose the fastest route to impact,driver,,true,Primary assigned with limited evidence and no clear secondary signal.
72,B,Operating Style,"When you last faced competing priorities, how did you decide?",Aligned key stakeholders before committing,driver,,true,No direct keyword match. Defaulted to driver.
72,C,Operating Style,"When you last faced competing priorities, how did you decide?",Sought broad agreement before moving ahead,driver,,true,Primary assigned with limited evidence and no clear secondary signal.
72,D,Operating Style,"When you last faced competing priorities, how did you decide?",Weighed downstream effects before deciding,driver,,true,No direct keyword match. Defaulted to driver.
73,A,Operating Style,What does uncertainty in an organisation usually indicate to you?,A window to move before others do,influencer,,true,Primary assigned with limited evidence and no clear secondary signal.
73,B,Operating Style,What does uncertainty in an organisation usually indicate to you?,A moment to rally people around change,influencer,,true,Primary assigned with limited evidence and no clear secondary signal.
73,C,Operating Style,What does uncertainty in an organisation usually indicate to you?,A warning sign that needs stabilising,implementer,,true,Primary assigned with limited evidence and no clear secondary signal.
73,D,Operating Style,What does uncertainty in an organisation usually indicate to you?,A complex problem to map carefully,driver,,true,No direct keyword match. Defaulted to driver.
74,A,Leadership Approach,What is the most damaging behaviour a leader can display?,Avoiding decisions when clarity is needed,results,,false,Primary results via avoiding decisions when clarity is needed.
74,B,Leadership Approach,What is the most damaging behaviour a leader can display?,Making it about ego over outcomes,results,vision,false,"Primary results, secondary vision via outcomes; outcomes; outcome."
74,C,Leadership Approach,What is the most damaging behaviour a leader can display?,Losing touch with team reality,people,,false,Primary people via losing touch with team reality; team.
74,D,Leadership Approach,What is the most damaging behaviour a leader can display?,Repeated poor judgement on key calls,process,,false,Primary process via repeated poor judgement on key calls; judg.
75,A,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased pressure and tightened deadlines,control,,true,Primary assigned with limited evidence and no clear secondary signal.
75,B,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased communication and visibility,control,,true,No direct keyword match. Defaulted to control.
75,C,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased support and removed friction,control,,true,No direct keyword match. Defaulted to control.
75,D,Pressure Response,"When outcomes really mattered, how did you operate differently (if at all)?",Increased analysis before major calls,critical,,true,Primary assigned with limited evidence and no clear secondary signal.
76,A,Environment Fit,What do the best organisations consistently get right?,They compete hard and keep standards high,competitive,,true,Primary assigned with limited evidence and no clear secondary signal.
76,B,Environment Fit,What do the best organisations consistently get right?,They keep people inspired by clear purpose,competitive,,true,No direct keyword match. Defaulted to competitive.
76,C,Environment Fit,What do the best organisations consistently get right?,They stay cohesive when pressure rises,competitive,,true,No direct keyword match. Defaulted to competitive.
76,D,Environment Fit,What do the best organisations consistently get right?,They run strong systems consistently,competitive,,true,No direct keyword match. Defaulted to competitive.
77,A,Operating Style,"When data conflicts with your instinct, what do you do?","Back my instinct, then validate quickly",driver,,true,Primary assigned with limited evidence and no clear secondary signal.
77,B,Operating Style,"When data conflicts with your instinct, what do you do?",Get more viewpoints before committing,driver,,true,No direct keyword match. Defaulted to driver.
77,C,Operating Style,"When data conflicts with your instinct, what do you do?",Pause and test where bias may exist,driver,,true,No direct keyword match. Defaulted to driver.
77,D,Operating Style,"When data conflicts with your instinct, what do you do?",Follow the evidence even if uncomfortable,analyst,,true,Primary assigned with limited evidence and no clear secondary signal.
78,A,Pressure Response,"When organisations go through change, what is your instinct?",Push change fast and remove blockers,control,,true,Primary assigned with limited evidence and no clear secondary signal.
78,B,Pressure Response,"When organisations go through change, what is your instinct?",Explain the vision until it lands,control,,true,No direct keyword match. Defaulted to control.
78,C,Pressure Response,"When organisations go through change, what is your instinct?",Protect core stability during transition,control,,true,No direct keyword match. Defaulted to control.
78,D,Pressure Response,"When organisations go through change, what is your instinct?",Design the transition step by step,control,,true,No direct keyword match. Defaulted to control.
79,A,Environment Fit,What kind of behaviour should organisations reward most?,Behaviours that deliver wins consistently,competitive,,true,No direct keyword match. Defaulted to competitive.
79,B,Environment Fit,What kind of behaviour should organisations reward most?,Behaviours that build influence and momentum,creative,,true,Primary assigned with limited evidence and no clear secondary signal.
79,C,Environment Fit,What kind of behaviour should organisations reward most?,Behaviours that strengthen trust and loyalty,competitive,,true,No direct keyword match. Defaulted to competitive.
79,D,Environment Fit,What kind of behaviour should organisations reward most?,Behaviours that show strong competence,competitive,,true,Primary assigned with limited evidence and no clear secondary signal.
80,A,Core Drivers,"When evaluating people, what do you value most?",Results delivered against clear goals,achievement,,false,Primary achievement via results delivered against clear goals; results; result.
80,B,Core Drivers,"When evaluating people, what do you value most?",Influence created across key stakeholders,influence,,false,Primary influence via influence created across key stakeholders; influence; influ.
80,C,Core Drivers,"When evaluating people, what do you value most?",Relationships maintained under pressure,stability,,false,Primary stability via relationships maintained under pressure.
80,D,Core Drivers,"When evaluating people, what do you value most?",Quality of thinking behind decisions,mastery,,false,Primary mastery via quality of thinking behind decisions; quality; quality.