question_id	original_question	reviewed_question	domain	signal	change_type
1	When starting a new initiative, what do you do first?	When you are starting something new, what do you do first?	Operating Style	driver	light_edit
2	How would you describe your natural pace at work?	When work picks up, what pace feels natural to you?	Operating Style	driver	rewrite
3	When priorities shift suddenly, what is your instinct?	When priorities shift suddenly, where do you go first?	Operating Style	driver	rewrite
4	What kind of work do you naturally gravitate towards?	What kind of work do you move towards first?	Operating Style	driver	rewrite
5	When there is little clarity, what do you do?	When there is little clarity, what do you do?	Operating Style	driver	unchanged
6	When working on something important, how do you handle detail?	When a piece of work matters, how closely do you work through the detail?	Operating Style	driver	rewrite
7	When receiving feedback, what is your instinct?	When you get feedback you disagree with, what do you do first?	Operating Style	driver	rewrite
8	When making decisions, what do you rely on most?	When you have to make a call, what do you rely on most?	Operating Style	driver	light_edit
9	In meetings, how do you usually contribute?	In meetings, what part do you usually play?	Operating Style	driver	rewrite
10	How would others describe how you work?	If someone watched you working for a week, what would they notice first?	Operating Style	driver	rewrite
11	What gives you the strongest sense of progress at work?	At work, what most makes you feel you are getting somewhere?	Core Drivers	achievement	rewrite
12	What motivates you most in your work?	In your day-to-day work, what keeps you most driven?	Core Drivers	achievement	rewrite
13	When you feel most satisfied at work, what has usually happened?	You usually feel most satisfied at work when what has happened?	Core Drivers	achievement	light_edit
14	What are you most likely to prioritise when time is limited?	When time is tight, what do you protect first?	Core Drivers	achievement	rewrite
15	What type of success matters most to you?	When a piece of work goes well, what kind of success matters most to you?	Core Drivers	achievement	rewrite
16	What drives you to keep pushing forward?	What keeps you pushing when the work gets hard?	Core Drivers	achievement	rewrite
17	When facing a difficult choice, what matters most?	When a choice is difficult, what carries most weight for you?	Core Drivers	achievement	rewrite
18	What kind of recognition matters most to you?	When your work is recognised, what matters most about it?	Core Drivers	achievement	rewrite
19	What type of work environment motivates you most?	What sort of working environment gets the best out of you?	Core Drivers	achievement	rewrite
20	When you look back on your work, what matters most?	When you look back on a piece of work, what matters most to you?	Core Drivers	achievement	light_edit
21	When leading a team, what do you focus on most?	When you are leading a team, what do you focus on most?	Leadership Approach	results	light_edit
22	How do you define success for your team?	When your team has done well, how do you judge success?	Leadership Approach	results	rewrite
23	When performance drops, what is your instinct?	When performance drops, what do you do first?	Leadership Approach	results	rewrite
24	In meetings, how do you tend to lead?	In meetings, how do you usually take the lead?	Leadership Approach	results	light_edit
25	When setting expectations, what matters most?	When you set expectations, what matters most?	Leadership Approach	results	light_edit
26	What do you emphasise most in your leadership?	In your leadership, what do you push hardest for?	Leadership Approach	results	rewrite
27	When making team decisions, what do you prioritise?	When the team needs a decision, what do you prioritise?	Leadership Approach	results	light_edit
28	How do you typically manage accountability?	When someone is not delivering, how do you usually handle it?	Leadership Approach	results	rewrite
29	What do others rely on you for most as a leader?	As a leader, what do people rely on you for most?	Leadership Approach	results	light_edit
30	How would your leadership style be described?	If your team described how you lead, what would they say?	Leadership Approach	results	rewrite
31	When you strongly disagree with someone, what do you do?	When you strongly disagree with someone, what do you do?	Tension Response	compete	unchanged
32	In a tense discussion, what is your instinct?	In a tense discussion, what do you do first?	Tension Response	compete	rewrite
33	When conflict arises, how do you typically respond?	When conflict comes up, how do you usually respond?	Tension Response	compete	light_edit
34	When you feel challenged, what do you do?	When someone pushes back on you, what do you do?	Tension Response	compete	rewrite
35	When discussions become heated, how do you respond?	When a discussion gets heated, how do you respond?	Tension Response	compete	light_edit
36	How do you approach difficult conversations?	When you need to have a difficult conversation, how do you usually go into it?	Tension Response	compete	rewrite
37	When progress is blocked by disagreement, what do you do?	When progress is blocked by disagreement, what do you do?	Tension Response	compete	unchanged
38	How do you handle opposing views?	When someone sees things very differently, how do you handle it?	Tension Response	compete	rewrite
39	When tensions rise in a team, what do you do?	When tension rises in a team, what do you do?	Tension Response	compete	light_edit
40	How do others experience you in conflict?	In conflict, how do others usually experience you?	Tension Response	compete	light_edit
41	How do you generally view risk?	When there is risk in a decision, how do you usually see it?	Operating Style	driver	rewrite
42	What kind of decisions do you prefer to make?	What kind of decisions are you most comfortable making?	Operating Style	driver	rewrite
43	In high-stakes situations, what do you prioritise?	In a high-stakes situation, what do you protect first?	Operating Style	driver	rewrite
44	When making judgement calls, what do you trust most?	When the facts are not complete, what do you trust most?	Operating Style	driver	rewrite
45	What level of uncertainty are you comfortable with?	How much uncertainty can you work with comfortably?	Operating Style	driver	rewrite
46	When under pressure, what drives your decisions most?	Under pressure, what most drives the decisions you make?	Core Drivers	achievement	rewrite
47	If forced to choose, what would you prioritise?	If you had to give one thing priority, what would it be?	Core Drivers	achievement	rewrite
48	What frustrates you most when things go wrong?	When things go wrong, what frustrates you most?	Core Drivers	achievement	light_edit
49	What gives you confidence in your work?	What most gives you confidence in your work?	Core Drivers	achievement	light_edit
50	What do you naturally protect most in your work?	In your work, what do you protect most?	Core Drivers	achievement	light_edit
51	Under pressure, how do you lead?	When the pressure is on, how do you lead?	Leadership Approach	results	light_edit
52	If forced to choose, what matters most?	If you had to put one thing first as a leader, what would it be?	Leadership Approach	results	rewrite
53	What frustrates you most in a team?	In a team, what frustrates you most?	Leadership Approach	results	light_edit
54	What gives you confidence in a team?	What most gives you confidence in a team?	Leadership Approach	results	light_edit
55	What do you protect most as a leader?	As a leader, what do you protect most?	Leadership Approach	results	light_edit
56	Under pressure in conflict, what is your instinct?	Under pressure in conflict, what do you do first?	Tension Response	compete	rewrite
57	If forced to choose in a disagreement, what matters most?	If a disagreement forces a choice, what matters most to you?	Tension Response	compete	rewrite
58	What frustrates you most in conflict?	In conflict, what frustrates you most?	Tension Response	compete	light_edit
59	What gives you confidence in tense situations?	What gives you most confidence in a tense situation?	Tension Response	compete	light_edit
60	What do you instinctively protect in conflict?	In conflict, what do you instinctively protect?	Tension Response	compete	light_edit
61	What type of environment brings out your best work?	What kind of environment helps you do your best work?	Environment Fit	competitive	rewrite
62	What kind of culture motivates you most?	What kind of culture brings out your best work?	Environment Fit	competitive	rewrite
63	When choosing a role, what matters most?	When you choose a role, what matters most to you?	Environment Fit	competitive	light_edit
64	What kind of team environment suits you best?	What kind of team environment suits you best?	Environment Fit	competitive	unchanged
65	What energises you most at work?	At work, what gives you the most energy?	Environment Fit	competitive	light_edit
66	What type of pace suits you best?	What kind of pace helps you do your best work?	Environment Fit	competitive	rewrite
67	What kind of leadership environment works best for you?	What kind of leadership around you helps you do your best work?	Environment Fit	competitive	rewrite
68	What kind of expectations do you prefer?	What kind of expectations help you work well?	Environment Fit	competitive	rewrite
69	What kind of environment helps you stay engaged?	What kind of environment helps you stay switched on?	Environment Fit	competitive	rewrite
70	What kind of workplace do you prefer overall?	Overall, what kind of workplace suits you best?	Environment Fit	competitive	light_edit
71	If forced to choose, what matters most?	If you had to choose one thing in a workplace, what would it be?	Environment Fit	competitive	rewrite
72	What frustrates you most in a workplace?	In a workplace, what frustrates you most?	Environment Fit	competitive	light_edit
73	What would you struggle with most long-term?	In the long term, what would wear you down most at work?	Environment Fit	competitive	rewrite
74	What gives you confidence in an organisation?	What gives you confidence in an organisation?	Environment Fit	competitive	unchanged
75	What do you naturally seek out at work?	What do you naturally look for in a workplace?	Environment Fit	competitive	rewrite
76	When pressure increases, what is your first instinct?	When pressure increases, what do you do first?	Pressure Response	control	rewrite
77	How does your behaviour change under sustained pressure?	When pressure stays high for a while, what changes in how you work?	Pressure Response	control	rewrite
78	When things feel out of control, what do you do?	When things feel out of control, what do you do?	Pressure Response	control	unchanged
79	When deadlines are intense, how do you respond?	When deadlines get tight, how do you respond?	Pressure Response	control	rewrite
80	How do others experience you under pressure?	Under pressure, how do others usually experience you?	Pressure Response	control	light_edit
81	When things start to slip, what do you do?	When things start to slip, what do you do?	Pressure Response	control	unchanged
82	What happens to your decision-making under pressure?	Under pressure, what happens to the way you make decisions?	Pressure Response	control	rewrite
83	When workload increases sharply, what do you do?	When the workload jumps sharply, what do you do?	Pressure Response	control	rewrite
84	When under pressure, what do you rely on most?	Under pressure, what do you rely on most?	Pressure Response	control	light_edit
85	What is your natural reaction to pressure overall?	Overall, what is your natural response to pressure?	Pressure Response	control	rewrite
86	If pressure keeps increasing, what are you most likely to do?	If the pressure keeps building, what are you most likely to do?	Pressure Response	control	rewrite
87	What frustrates you most under pressure?	Under pressure, what frustrates you most?	Pressure Response	control	light_edit
88	What gives you confidence under pressure?	What gives you confidence when the pressure is on?	Pressure Response	control	rewrite
89	What do you instinctively protect under pressure?	Under pressure, what do you instinctively protect?	Pressure Response	control	light_edit
90	If others misunderstand your behaviour under pressure, what is most likely?	If people misunderstand you under pressure, what are they most likely missing?	Pressure Response	control	rewrite
